Key,Source,Note,en,ko,es,zh-cn,zh-tw
DoubleCheckFollow,Are you sure you want to travel to your friend?\n(You will forfeit this duel.),,Are you sure you want to travel to your friend?\n(You will forfeit this duel.),정말로 친구가 있는 곳으로 이동하시겠습니까?\n(듀얼은 패배 처리됩니다.),¿Confirmas que quieres viajar a la ubicación de tu amigo?\n(Abandonarás el duelo actual).,确定要移动至好友所在位置吗？\n（届时决斗处理为失败。）,確定要前往好友的所在地嗎？\n（決鬥將會被判定為戰敗。）
DoubleCheckCreateDeck,Do you want to make a new {0} deck?,,Do you want to make a new {0} deck?,새로운 {0} 덱을 만드시겠습니까?,¿Quieres hacer un nuevo mazo {0}?,是否新建{0}卡组？,要創建新的{0}牌組嗎？
DoubleCheckFinishDeck,You need {0} more card(s) to complete a deck.\nAre you sure you want to finish?,,You need {0} more card(s) to complete a deck.\nAre you sure you want to finish?,덱을 완성하려면 카드가 {0}장 더 필요합니다.\n정말로 완료하시겠습니까?,Necesitas {0} carta(s) más para completar un mazo.\n¿Confirmas que quieres terminar?,若要完成卡组，仍需要{0}张卡牌。\n确定要完成吗？,若要完成牌組，還需要{0}張卡牌。\n確定要完成嗎？
DoubleCheckSaveDeck,Save deck?,,Save deck?,덱을 저장하시겠습니까?,¿Guardar mazo?,是否保存卡组？,要儲存牌組嗎？
DoubleCheckDeleteDeck,Are you sure you want to delete this deck?,,Are you sure you want to delete this deck?,정말로 덱을 삭제하시겠습니까?,¿Confirmas que quieres borrar este mazo?,确定要删除卡组吗？,確定要刪除牌組嗎？
DoubleCheckSurrender,Are you sure you want to concede?,,Are you sure you want to concede?,정말로 항복하시겠습니까?,¿Confirmas que quieres conceder?,确定要投降吗？,確定要投降嗎？
DoubleCheckBuySingleCardPackWorldCoin,Are you sure you want to purchase {0} (1 pack)?,,Are you sure you want to purchase {0} (1 pack)?,정말로 {0} (1개)를 구매하시겠습니까?,¿Confirmas que quieres comprar {0} (1 carta)?,确定要购买{0}（1个）吗？,確定要購買1個{0}嗎？
DoubleCheckBuySingleCardPackMeso,Are you sure you want to purchase {0} (1 pack)?,,Are you sure you want to purchase {0} (1 pack)?,정말로 {0} (1개)를 구매하시겠습니까?,¿Confirmas que quieres comprar {0} (1 carta)?,确定要购买{0}（1个）吗？,確定要購買1個{0}嗎？
DoubleCheckBuyMultipleCardPacksWorldCoin,Are you sure you want to purchase {0} (5 packs)?,,Are you sure you want to purchase {0} (5 packs)?,정말로 {0} (5개)를 구매하시겠습니까?,¿Confirmas que quieres comprar {0} (5 cartas)?,确定要购买{0}（5个）吗？,確定要購買5個{0}嗎？
DoubleCheckBuyMultipleCardPacksMeso,Are you sure you want to purchase {0} (5 packs)?,,Are you sure you want to purchase {0} (5 packs)?,정말로 {0} (5개)를 구매하시겠습니까?,¿Confirmas que quieres comprar {0} (5 cartas)?,确定要购买{0}（5个）吗？,確定要購買5個{0}嗎？
DoubleCheckBuySingleCardPackByOpenEvent,Are you sure you want to open {0} (1 pack) for free?,,Are you sure you want to open {0} (1 pack) for free?,정말로 {0} (1개)를 무료로 개봉하시겠습니까?,¿Confirmas que quieres abrir {0} (1 carta) gratis?,确定要免费打开{0}（1个）吗？,確定要免費開封1個{0}嗎？
DoubleCheckBuyCard,Are you sure you want to purchase this card?,,Are you sure you want to purchase this card?,정말로 이 카드를 구매하시겠습니까?,¿Confirmas que quieres comprar esta carta?,确定要购买该卡牌吗？,確定要購買此卡牌嗎？\n這是購買時附贈的商品，購買後無法取消。
DoubleCheckSellCard,"Are you sure you want to sell this card?\nOnce you confirm this sale, it can't be undone.\n(A trade function may be added in the future.)",,"Are you sure you want to sell this card?\nOnce you confirm this sale, it can't be undone.\n(A trade function may be added in the future.)","정말로 이 카드를 판매하시겠습니까?\n확인 버튼을 누르시면 카드 판매가 완료되며, 다시 되돌릴 수 없습니다.\n(추후 거래 기능이 도입될 수 있습니다.)","¿Confirmas que quieres vender esta carta?\nUna vez confirmada la venta, no se puede volver atrás.\n(Una función de intercambio podría estar disponible en el futuro).",确定要出售该卡牌吗？\n点击确定按钮即可完成卡牌出售，届时无法撤销。\n（今后有可能新增交易功能。）,確定要販售此卡牌嗎？\n點擊確認按鈕後，即完成卡牌販售，無法復原。\n（未來可能會導入交易功能。）
DoubleCheckUnfriend,Are you sure you want to remove {0} as a friend?,,Are you sure you want to remove {0} as a friend?,정말로 {0}님과 친구를 해제하시겠습니까?,¿Confirmas que quieres eliminar a {0} como amigo?,确定要与{0}解除好友吗？,確定要與{0}解除好友關係嗎？
SuccessBuyCard,You purchased a card.,,You purchased a card.,카드를 구매했습니다.,Compraste una carta.,已购买卡牌。,已購買卡牌。
SuccessSellCard,You sold a card.,,You sold a card.,카드를 판매했습니다.,Vendiste una carta.,你出售了卡牌。,已販售卡牌。
Buy,Buy,,Buy,구매,Comprar,购买,購買
Sell,Sell,,Sell,판매,Vender,出售,販售
NotEnoughMeso,You don't have enough Mesos.,,You don't have enough Mesos.,메소가 부족합니다.,No tienes mesos suficientes.,枫币不足。,楓幣不足。
Select,Select,,Select,선택,Seleccionar,选择,選擇
Selected,Selected,,Selected,선택됨,Seleccionado,已选,已選擇
Ok,Confirm,,Confirm,확인,Confirmar,确定,確認
Cancel,Cancel,,Cancel,취소,Cancelar,取消,取消
MatchingNotFound,Failed to find an opponent.,,Failed to find an opponent.,상대를 찾지 못했습니다.,Error al encontrar oponentes.,无法找到对手。,找不到匹配的對手。
MaxDeckCount,You can make up to 8 decks.,,You can make up to 10 decks.,덱은 10개까지만 만들 수 있습니다.,Puedes crear hasta 10 mazos.,最多可以创建10套卡组。,牌組最多可建立8組。
Card,Card,,Card,카드,Tarjeta,卡牌,卡牌
Shop,Shop,,Shop,상점,Tienda,商店,商店
FriendlyMatch,Friendly Match,,Friendly Match,친선전,Partida amistosa,友谊赛,友誼賽
Practice,Practice,,Practice,연습,Práctica,练习,練習
Tutorial,Tutorial,,Tutorial,튜토리얼,Tutorial,教程,新手教學
Return,Back,,Back,돌아가기,Volver,返回,返回
Leave,Exit,,Exit,나가기,Salir,退出,離開
Surrender,Concede,,Concede,항복,Conceder,投降,投降
RankedMatch,Ranked Match,,Ranked Match,랭크전,Partida clasificatoria,排位战,排位戰
Iron,Iron,,Iron,아이언,Hierro,黑铁,鋼之
Bronze,Bronze,,Bronze,브론즈,Bronce,青铜,青銅
Silver,Silver,,Silver,실버,Plata,白银,白銀
Gold,Gold,,Gold,골드,Oro,金币,黃金
Platinum,Platinum,,Platinum,플래티넘,Platino,铂金,白金
Master,Master,,Master,마스터,Maestro,大师,大師
Legend,Legend,,Legend,레전드,Leyenda,传说,傳說
GameStart,Start Game,,Start Game,게임 시작,Iniciar el juego,开始游戏,遊戲開始
SearchingForOpponent,Searching for an opponent...,,Searching for an opponent...,상대 찾는 중...,Buscando oponente...,正在寻找对手……,尋找對手中…
Unowned,Not Owned,,Not Owned,미보유,No lo tienes,未持有,未持有
NoCardsLeft,Out of Cards,,Out of Cards,남은 카드 없음,Sin cartas,没有剩余卡牌,沒有剩餘的卡牌
Max2Cards,Up to 2 Cards,,Up to 2 Cards,최대 2장,Hasta 2 cartas,最多2张,最多2張
Deck,Deck,,Deck,덱,Mazo,卡组,牌組
NewDeck,New Deck,,New Deck,새로운 덱,Nuevo mazo,新卡组,新牌組
NoDeck,No Deck,,No Deck,덱 없음,No hay mazo,没有卡组,沒有牌組
Incomplete,Incomplete,,Incomplete,미완성,Incompleto,未完成,未完成
Finish,Finish,,Finish,완료,Termina,完成,完成
NormalEpic,Normal Epic,,Normal Epic,일반 에픽,Épica,普通史诗,一般史詩
NormalUnique,Normal Unique,,Normal Unique,일반 유니크,Única,普通罕见,一般罕見
NormalLegendary,Normal Legendary,,Normal Legendary,일반 레전더리,Legendaria,普通传说,一般傳說
GoldEpic,Golden Epic,,Golden Epic,황금 에픽,Épica de oro,黄金史诗,黃金史詩
GoldUnique,Golden Unique,,Golden Unique,황금 유니크,Única de oro,黄金罕见,黃金罕見
GoldLegendary,Golden Legendary,,Golden Legendary,황금 레전더리,Legendaria de oro,黄金传说,黃金傳說
ClassicEpic,Classic Epic Card Pack,,Classic Epic Card Pack,클래식 에픽 카드 팩,Paquete cartas épicas clásicas,经典史诗卡包,經典史詩卡包
ClassicEpicInfo,"This card pack contains <b>Rare</b> and <b>Epic</b> cards determined by a set probability.\n<b>Variant</b> cards are included in this pack's featured list.\n* You can get <b>5</b> cards from each pack.\n* A list of featured cards and the chances for each pack can be found in Probability Info.\n<color=""blue"">[View Probability Info]</color>",,"This card pack contains <b>Rare</b> and <b>Epic</b> cards determined by a set probability.\n<b>Variant</b> cards are included in this pack's featured list.\n* You can get <b>5</b> cards from each pack.\n* A list of featured cards and the chances for each pack can be found in Probability Info.\n<color=""blue"">[View Probability Info]</color>","<b>레어</b>, <b>에픽</b> 등급의 카드를 정해진 확률에 따라 획득할 수 있는 카드 팩입니다.\n등장하는 카드 목록에는 <b>변형</b> 카드가 포함됩니다.\n※ 카드 팩 1개당 <b>5</b>장의 카드를 획득할 수 있습니다.\n※ 각 카드 팩에서 등장하는 카드 목록 및 확률은 아래 확률 정보에서 확인하실 수 있습니다.\n<color=""blue"">[ 확률 정보 보기 ]</color>","Este paquete de cartas contiene cartas <b>raras</b> y <b>épicas</b> determinadas por una probabilidad establecida.\nLas cartas <b>variantes</b> están incluidas en este paquete.\n* Puedes obtener <b>5</b> cartas en cada paquete.\n* La lista de cartas y las probabilidades de cada paquete se pueden encontrar en la Info. de probabilidad.\n<color=""blue"">[Ver Info. de probabilidad]</color>","此为根据既定概率可获得<b>稀有</b>和<b>史诗</b>级别卡牌的卡包。\n卡包中出现的卡牌列表中包含<b>变形</b>卡牌。\n※ 每个卡包内含<b>5张</b>卡牌。\n※ 您可以在下面的概率信息中查看各卡包中出现的卡牌列表及概率。\n<color=""blue"">【查看概率信息】</color>","可依固定機率獲得<b>稀有</b>和<b>史詩</b>等級卡牌的卡包。\n出現的卡牌列表中包含<b>變形</b>卡牌。\n※每1包卡包可獲得<b>5</b>張卡牌。\n※各種卡包中出現的卡牌列表及機率，可於下方的機率資訊中查看。\n<color=""blue"">[查看機率資訊]</color>"
ClassicUnique,Classic Unique Card Pack,,Classic Unique Card Pack,클래식 유니크 카드 팩,Paquete de cartas únicas clásicas,经典罕见卡包,經典罕見卡包
ClassicUniqueInfo,"This card pack contains <b>Rare</b>, <b>Epic</b>, and <b>Unique</b> cards determined by a set probability.\n<b>Variant</b> cards are included in this pack's featured list.\n* You can get <b>5</b> cards from each pack.\n* A list of featured cards and the chances for each pack can be found in Probability Info.\n<color=""blue"">[View Probability Info]</color>",,"This card pack contains <b>Rare</b>, <b>Epic</b>, and <b>Unique</b> cards determined by a set probability.\n<b>Variant</b> cards are included in this pack's featured list.\n* You can get <b>5</b> cards from each pack.\n* A list of featured cards and the chances for each pack can be found in Probability Info.\n<color=""blue"">[View Probability Info]</color>","<b>레어</b>, <b>에픽</b>, <b>유니크</b> 등급의 카드를 정해진 확률에 따라 획득할 수 있는 카드 팩입니다.\n등장하는 카드 목록에는 <b>변형</b> 카드가 포함됩니다.\n※ 카드 팩 1개당 <b>5</b>장의 카드를 획득할 수 있습니다.\n※ 각 카드 팩에서 등장하는 카드 목록 및 확률은 아래 확률 정보에서 확인하실 수 있습니다.\n<color=""blue"">[ 확률 정보 보기 ]</color>","Este paquete de cartas contiene cartas <b>raras</b>, <b>épicas</b> y <b>únicas</b> determinadas por una probabilidad establecida.\nLas cartas <b>variantes</b> están incluidas en este paquete.\n* Puedes obtener <b>5</b> cartas en cada paquete.\n* La lista de cartas y las probabilidades de cada paquete se pueden encontrar en la Info. de probabilidad.\n<color=""blue"">[Ver Info. de probabilidad]</color>","此为根据既定概率可获得<b>稀有</b>、<b>史诗</b>和<b>罕见</b>级别卡牌的卡包。\n卡包中出现的卡牌列表中包含<b>变形</b>卡牌。\n※ 每个卡包内含<b>5张</b>卡牌。\n※ 您可以在下面的概率信息中查看各卡包中出现的卡牌列表及概率。\n<color=""blue"">【查看概率信息】</color>","可依固定機率獲得<b>稀有</b>、<b>史詩</b>和<b>罕見</b>等級卡牌的卡包。\n出現的卡牌列表中包含<b>變形</b>卡牌。\n※每1包卡包可獲得<b>5</b>張卡牌。\n※各種卡包中出現的卡牌列表及機率，可於下方的機率資訊中查看。\n<color=""blue"">[查看機率資訊]</color>"
ClassicLegendary,Classic Legendary Card Pack,,Classic Legendary Card Pack,클래식 레전더리 카드 팩,Paquete de cartas legendarias clásicas,经典传说卡包,經典傳說卡包
ClassicLegendaryInfo,"This card pack contains <b>Rare</b>, <b>Epic</b>, <b>Unique</b>, and <b>Legendary</b> cards determined by a set probability.\n<b>Variant</b> cards are included in this pack's featured list.\n* You can get <b>5</b> cards from each pack.\n* A list of featured cards and the chances for each pack can be found in Probability Info.\n<color=""blue"">[View Probability Info]</color>",,"This card pack contains <b>Rare</b>, <b>Epic</b>, <b>Unique</b>, and <b>Legendary</b> cards determined by a set probability.\n<b>Variant</b> cards are included in this pack's featured list.\n* You can get <b>5</b> cards from each pack.\n* A list of featured cards and the chances for each pack can be found in Probability Info.\n<color=""blue"">[View Probability Info]</color>","<b>레어</b>, <b>에픽</b>, <b>유니크</b>, <b>레전더리</b> 등급의 카드를 정해진 확률에 따라 획득할 수 있는 카드 팩입니다.\n등장하는 카드 목록에는 <b>변형</b> 카드가 포함됩니다.\n※ 카드 팩 1개당 <b>5</b>장의 카드를 획득할 수 있습니다.\n※ 각 카드 팩에서 등장하는 카드 목록 및 확률은 아래 확률 정보에서 확인하실 수 있습니다.\n<color=""blue"">[ 확률 정보 보기 ]</color>","Este paquete de cartas contiene cartas <b>raras</b>, <b>épicas</b>, <b>únicas</b> y <b>legendarias</b> determinadas por una probabilidad establecida.\nLas cartas <b>variantes</b> están incluidas en este paquete.\n* Puedes obtener <b>5</b> cartas en cada paquete.\n* La lista de cartas y las probabilidades de cada paquete se pueden encontrar en la Info. de probabilidad.\n<color=""blue"">[Ver Info. de probabilidad]</color>","此为根据既定概率可获得<b>稀有</b>、<b>史诗</b>、<b>罕见</b>和<b>传说</b>级别卡牌的卡包。\n卡包中出现的卡牌列表中包含<b>变形</b>卡牌。\n※ 每个卡包内含<b>5张</b>卡牌。\n※ 您可以在下面的概率信息中查看各卡包中出现的卡牌列表及概率。\n<color=""blue"">【查看概率信息】</color>","可依固定機率獲得<b>稀有</b>、<b>史詩</b>、<b>罕見</b>和<b>傳說</b>等級卡牌的卡包。\n出現的卡牌列表中包含<b>變形</b>卡牌。\n※每1包卡包可獲得<b>5</b>張卡牌。\n※各種卡包中出現的卡牌列表及機率，可於下方的機率資訊中查看。\n<color=""blue"">[查看機率資訊]</color>"
